#K-Path      Energy-Level
# NKPTS & NBANDS:  80  28
# Band-Index    1
   0.87516     -9.663426
   0.85085     -9.671125
   0.82654     -9.681410
   0.80223     -9.694571
   0.77792     -9.710954
   0.75361     -9.730962
   0.72930     -9.755046
   0.70499     -9.783700
   0.68068     -9.817442
   0.65637     -9.856800
   0.63206     -9.902287
   0.60775     -9.954378
   0.58344    -10.013474
   0.55913    -10.079894
   0.53482    -10.153831
   0.51051    -10.235336
   0.48620    -10.319035
   0.46189    -10.407884
   0.43758    -10.503791
   0.41327    -10.606382
   0.38896    -10.715173
   0.36465    -10.829614
   0.34034    -10.949078
   0.31603    -11.072933
   0.29172    -11.200533
   0.26741    -11.331239
   0.24310    -11.333707
   0.21879    -11.217488
   0.19448    -11.097595
   0.17017    -10.974065
   0.14586    -10.846935
   0.12155    -10.716246
   0.09724    -10.582043
   0.07293    -10.444375
   0.04862    -10.303305
   0.02431    -10.158888
   0.00000    -10.258058
 
 
# Band-Index    7
   0.00000    -10.011202
   0.02431    -10.105509
   0.04862     -9.949697
   0.07293     -9.790706
   0.09724     -9.628618
   0.12155     -9.463529
   0.14586     -9.295553
   0.17017     -9.124807
   0.19448     -8.951430
   0.21879     -8.775594
   0.24310     -8.597473
   0.26741     -8.417276
   0.29172     -8.235255
   0.31603     -8.051695
   0.34034     -7.866931
   0.36465     -7.681357
   0.38896     -7.495433
   0.41327     -7.309728
   0.43758     -7.124894
   0.46189     -6.941715
   0.48620     -6.761096
   0.51051     -6.584092
   0.53482     -6.411916
   0.55913     -6.294869
   0.58344     -6.341036
   0.60775     -6.384801
   0.63206     -6.426027
   0.65637     -6.464590
   0.68068     -6.500387
   0.70499     -6.533327
   0.72930     -6.563333
   0.75361     -6.590343
   0.77792     -6.614296
   0.80223     -6.635143
   0.82654     -6.652848
   0.85085     -6.667375
   0.87516     -6.678702
   0.89947     -6.686806
   0.92378     -6.691674
   0.94809     -6.693298
   0.94809     -6.693298
   0.96597     -6.694518
   0.98385     -6.698269
   1.00173     -6.704799
   1.01961     -6.714502
   1.03748     -6.727872
   1.05536     -6.745448
   1.07324     -6.767766
   1.09112     -6.795281
   1.10899     -6.828336
   1.12687     -6.867104
   1.14475     -6.956357
   1.16263     -7.053030
   1.18051     -7.150433
   1.19838     -7.248238
   1.21626     -7.346164
   1.23414     -7.443971
   1.25202     -7.541447
   1.26989     -7.638401
   1.28777     -7.734667
   1.30565     -7.830095
   1.32353     -7.924544
   1.34141     -8.017881
   1.35928     -8.109987
   1.37716     -8.200753
   1.39504     -8.290067
   1.41292     -8.377829
   1.43079     -8.463940
   1.44867     -8.548301
   1.46655     -8.630809
   1.48443     -8.711357
   1.50231     -8.789815
   1.52018     -8.866015
   1.53806     -8.939655
   1.55594     -9.009995
   1.57382     -9.073696
   1.59169     -9.101921
   1.60957     -9.061905
   1.62745     -9.005688
   1.64533     -8.945167
 
 
# Band-Index    8
   1.64533     -8.945059
   1.62745     -8.881822
   1.60957     -8.816292
   1.59169     -8.748752
   1.57382     -8.679361
   1.55594     -8.608239
   1.53806     -8.535508
   1.52018     -8.461280
   1.50231     -8.385675
   1.48443     -8.308818
   1.46655     -8.230846
   1.44867     -8.151901
   1.43079     -8.072146
   1.41292     -7.991757
   1.39504     -7.910929
   1.37716     -7.829877
   1.35928     -7.748844
   1.34141     -7.668100
   1.32353     -7.587950
   1.30565     -7.508732
   1.28777     -7.430818
   1.26989     -7.354636
   1.25202     -7.280644
   1.23414     -7.209337
   1.21626     -7.141243
   1.19838     -7.076904
   1.18051     -7.016860
   1.16263     -6.961611
   1.14475     -6.911585
   1.12687     -6.860805
   1.10899     -6.766858
   1.09112     -6.675116
   1.07324     -6.586350
   1.05536     -6.501584
   1.03748     -6.422185
   1.01961     -6.350039
   1.00173     -6.287742
   0.98385     -6.238690
   0.96597     -6.206853
   0.94809     -6.195756
   0.94809     -6.195756
   0.92378     -6.194261
   0.89947     -6.189786
   0.87516     -6.182337
   0.85085     -6.171934
   0.82654     -6.158605
   0.80223     -6.142383
   0.77792     -6.123316
   0.75361     -6.101456
   0.72930     -6.076866
   0.70499     -6.049626
   0.68068     -6.019823
   0.65637     -5.987562
   0.63206     -5.952966
   0.60775     -5.981313
   0.58344     -6.091957
   0.55913     -6.245861
   0.53482     -6.349633
   0.51051     -6.494332
   0.48620     -6.647731
   0.46189     -6.808303
   0.43758     -6.974557
   0.41327     -7.145120
   0.38896     -7.318783
   0.36465     -7.494504
   0.34034     -7.671401
   0.31603     -7.848729
   0.29172     -8.025885
   0.26741     -8.202355
   0.24310     -8.377706
   0.21879     -8.551574
   0.19448     -8.723654
   0.17017     -8.893689
   0.14586     -9.061449
   0.12155     -9.226746
   0.09724     -9.389427
   0.07293     -9.549327
   0.04862     -9.706327
   0.02431     -9.860317
   0.00000    -10.011201
 
 
# Band-Index    9
   0.00000     -5.524498
   0.02431     -5.558831
   0.04862     -5.597972
   0.07293     -5.640634
   0.09724     -5.685552
   0.12155     -5.731511
   0.14586     -5.777355
   0.17017     -5.821999
   0.19448     -5.864411
   0.21879     -5.903944
   0.24310     -5.940634
   0.26741     -5.971370
   0.29172     -5.995328
   0.31603     -6.011715
   0.34034     -6.020434
   0.36465     -6.022082
   0.38896     -6.014690
   0.41327     -5.997569
   0.43758     -6.034727
   0.46189     -6.089862
   0.48620     -6.143720
   0.51051     -6.196006
   0.53482     -6.246464
   0.55913     -6.215081
   0.58344     -6.087263
   0.60775     -5.937432
   0.63206     -5.883935
   0.65637     -5.800225
   0.68068     -5.730040
   0.70499     -5.672641
   0.72930     -5.626753
   0.75361     -5.590797
   0.77792     -5.563126
   0.80223     -5.542187
   0.82654     -5.526627
   0.85085     -5.515324
   0.87516     -5.507397
   0.89947     -5.502187
   0.92378     -5.499238
   0.94809     -5.498284
   0.94809     -5.498284
   0.96597     -5.490879
   0.98385     -5.469936
   1.00173     -5.438407
   1.01961     -5.399377
   1.03748     -5.368093
   1.05536     -5.368961
   1.07324     -5.371516
   1.09112     -5.375043
   1.10899     -5.378490
   1.12687     -5.380746
   1.14475     -5.380869
   1.16263     -5.378160
   1.18051     -5.372172
   1.19838     -5.362666
   1.21626     -5.349562
   1.23414     -5.332892
   1.25202     -5.312755
   1.26989     -5.289286
   1.28777     -5.262641
   1.30565     -5.232972
   1.32353     -5.200425
   1.34141     -5.165139
   1.35928     -5.127238
   1.37716     -5.086831
   1.39504     -5.044019
   1.41292     -4.998888
   1.43079     -4.951523
   1.44867     -4.901991
   1.46655     -4.850359
   1.48443     -4.796683
   1.50231     -4.741026
   1.52018     -4.683439
   1.53806     -4.623974
   1.55594     -4.562683
   1.57382     -4.499628
   1.59169     -4.434863
   1.60957     -4.368459
   1.62745     -4.300497
   1.64533     -4.231103
 
 
# Band-Index   10
   1.64533     -4.231054
   1.62745     -4.160346
   1.60957     -4.088508
   1.59169     -4.015914
   1.57382     -3.943228
   1.55594     -3.871941
   1.53806     -3.806250
   1.52018     -3.760223
   1.50231     -3.761913
   1.48443     -3.804234
   1.46655     -3.861019
   1.44867     -3.922540
   1.43079     -3.985947
   1.41292     -4.050240
   1.39504     -4.115030
   1.37716     -4.180152
   1.35928     -4.245542
   1.34141     -4.311174
   1.32353     -4.377039
   1.30565     -4.443119
   1.28777     -4.509368
   1.26989     -4.575716
   1.25202     -4.642054
   1.23414     -4.708223
   1.21626     -4.774025
   1.19838     -4.839226
   1.18051     -4.903561
   1.16263     -4.966744
   1.14475     -5.028493
   1.12687     -5.088540
   1.10899     -5.146640
   1.09112     -5.202586
   1.07324     -5.256174
   1.05536     -5.307165
   1.03748     -5.355155
   1.01961     -5.369002
   1.00173     -5.371145
   0.98385     -5.373617
   0.96597     -5.375517
   0.94809     -5.376224
   0.94809     -5.376224
   0.92378     -5.374491
   0.89947     -5.369297
   0.87516     -5.360645
   0.85085     -5.348546
   0.82654     -5.333013
   0.80223     -5.314063
   0.77792     -5.291719
   0.75361     -5.287954
   0.72930     -5.361999
   0.70499     -5.450307
   0.68068     -5.552883
   0.65637     -5.669023
   0.63206     -5.797613
   0.60775     -5.916178
   0.58344     -5.877361
   0.55913     -5.836707
   0.53482     -5.794430
   0.51051     -5.821781
   0.48620     -5.882481
   0.46189     -5.931881
   0.43758     -5.970131
   0.41327     -5.986636
   0.38896     -6.007873
   0.36465     -6.018704
   0.34034     -6.019742
   0.31603     -6.010459
   0.29172     -5.992977
   0.26741     -5.968778
   0.24310     -5.938704
   0.21879     -5.903600
   0.19448     -5.862072
   0.17017     -5.815925
   0.14586     -5.766348
   0.12155     -5.714251
   0.09724     -5.660577
   0.07293     -5.606326
   0.04862     -5.552554
   0.02431     -5.500365
   0.00000     -5.524493
 
 
# Band-Index   11
   0.00000     -5.450913
   0.02431     -5.496189
   0.04862     -5.475038
   0.07293     -5.461935
   0.09724     -5.457512
   0.12155     -5.462036
   0.14586     -5.475402
   0.17017     -5.497161
   0.19448     -5.526588
   0.21879     -5.562762
   0.24310     -5.604662
   0.26741     -5.651244
   0.29172     -5.701502
