#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    3.06117    -15.134329    0.179
    3.10269    -15.141564    0.179
    3.14422    -15.143936    0.179

# Band-Index    5
    3.14422    -8.072712    0.573
    3.10269    -8.065665    0.574
    3.06117    -8.043915    0.572
    3.01964    -8.008056    0.571
    2.97811    -7.958358    0.568
    2.93658    -7.895685    0.565
    2.89505    -7.820623    0.561
    2.85352    -7.734446    0.557
    2.81200    -7.638412    0.552
    2.77047    -7.534455    0.545
    2.72894    -7.424402    0.539
    2.68741    -7.310945    0.529
    2.64588    -7.197916    0.519
    2.60436    -7.090174    0.508
    2.56283    -6.994018    0.498
    2.52130    -6.918308    0.491
    2.47977    -6.872590    0.498
    2.43824    -6.863621    0.527
    2.39671    -6.890201    0.570
    2.35519    -6.941316    0.610
    2.31366    -7.002469    0.637
    2.27213    -7.061645    0.652
    2.23060    -7.110816    0.659
    2.18907    -7.144952    0.662
    2.14755    -7.160950    0.662
    2.10602    -7.157117    0.661
    2.06449    -7.133019    0.663
    2.02296    -7.090572    0.663
    1.98143    -7.061106    0.691
    1.93990    -7.112670    0.711
    1.89838    -7.155395    0.714
    1.85685    -7.180844    0.715
    1.81532    -7.189142    0.716
    1.81532    -7.189142    0.716
    1.79456    -7.187153    0.716
    1.77379    -7.181315    0.715
    1.75303    -7.171876    0.715
    1.73226    -7.159122    0.714
    1.71150    -7.143481    0.711
    1.69074    -7.125791    0.707
    1.66997    -7.109706    0.693
    1.64921    -7.124942    0.654
    1.62844    -7.178862    0.649
    1.60768    -7.238674    0.649
    1.58692    -7.299327    0.649
    1.56615    -7.359619    0.647
    1.54539    -7.418898    0.647
    1.52462    -7.476718    0.645
    1.50386    -7.532752    0.645
    1.48309    -7.586705    0.644
    1.46233    -7.638342    0.645
    1.44157    -7.687453    0.645
    1.42080    -7.733856    0.645
    1.40004    -7.777397    0.644
    1.37927    -7.817935    0.645
    1.35851    -7.855329    0.645
    1.33775    -7.889491    0.645
    1.31698    -7.920307    0.645
    1.29622    -7.947693    0.645
    1.27545    -7.971572    0.645
    1.25469    -7.991887    0.646
    1.23393    -8.008575    0.645
    1.21316    -8.021590    0.645
    1.19240    -8.030906    0.646
    1.17163    -8.036472    0.646
    1.15087    -8.038328    0.646
    1.15087    -8.038328    0.646
    1.11490    -8.029269    0.647
    1.07894    -8.002390    0.649
    1.04297    -7.958374    0.652
    1.00701    -7.898366    0.657
    0.97104    -7.823833    0.661
    0.93508    -7.736635    0.667
    0.89912    -7.639044    0.672
    0.86315    -7.533813    0.675
    0.82719    -7.424392    0.675
    0.79122    -7.315555    0.669
    0.75526    -7.213606    0.655
    0.71929    -7.127374    0.628
    0.68333    -7.066519    0.592
    0.64736    -7.038157    0.560
    0.61140    -7.044000    0.538
    0.57543    -7.080130    0.528
    0.53947    -7.139522    0.526
    0.50350    -7.215168    0.529
    0.46754    -7.300930    0.533
    0.43158    -7.391649    0.539
    0.39561    -7.483580    0.543
    0.35965    -7.574101    0.549
    0.32368    -7.660688    0.553
    0.28772    -7.741765    0.558
    0.25175    -7.815802    0.561
    0.21579    -7.881926    0.565
    0.17982    -7.938992    0.568
    0.14386    -7.986647    0.570
