#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    0.79122    -6.005800    0.172
    0.75526    -5.932046    0.190
    0.71929    -5.897535    0.151
    0.68333    -5.880501    0.113
    0.64736    -5.855313    0.085
    0.61140    -5.807581    0.058
    0.57543    -5.729444    0.033
    0.53947    -5.620501    0.018
    0.50350    -5.487639    0.011
    0.46754    -5.338631    0.006
    0.43158    -5.180295    0.005
    0.39561    -5.016928    0.004
    0.35965    -4.853261    0.004
    0.32368    -4.692107    0.004
    0.28772    -4.536644    0.004
    0.25175    -4.386405    0.002
    0.21579    -4.251399    0.002
    0.17982    -4.130223    0.002
    0.14386    -4.025586    0.002
    0.10789    -3.940488    0.001
    0.07193    -3.876072    0.001
    0.03596    -3.839172    0.001
    0.00000    -3.834641    0.001

# Band-Index    8
    0.00000    -3.817194    0.001
    0.03596    -3.823724    0.002
    0.07193    -3.812462    0.005
    0.10789    -3.813524    0.808
    0.14386    -3.879990    0.801
    0.17982    -3.962272    0.790
    0.21579    -4.058080    0.778
    0.25175    -4.164442    0.764
    0.28772    -4.281651    0.751
    0.32368    -4.404149    0.737
    0.35965    -4.531022    0.718
    0.39561    -4.659650    0.694
    0.43158    -4.787504    0.666
    0.46754    -4.912639    0.625
    0.50350    -5.033433    0.569
    0.53947    -5.149313    0.494
    0.57543    -5.262059    0.400
    0.61140    -5.373931    0.304
    0.64736    -5.486355    0.220
    0.68333    -5.597515    0.149
    0.71929    -5.700669    0.083
    0.75526    -5.777756    0.035
    0.79122    -5.816011    0.079
    0.82719    -5.848810    0.219
    0.86315    -5.907165    0.392
    0.89912    -5.984113    0.482
    0.93508    -6.062229    0.518
    0.97104    -6.133331    0.532
    1.00701    -6.193964    0.539
    1.04297    -6.242429    0.541
    1.07894    -6.277674    0.543
    1.11490    -6.299050    0.544
    1.15087    -6.306251    0.543
    1.15087    -6.306251    0.543
    1.17163    -6.307518    0.544
    1.19240    -6.311302    0.545
    1.21316    -6.317490    0.548
    1.23393    -6.326110    0.552
    1.25469    -6.337119    0.557
    1.27545    -6.350534    0.562
    1.29622    -6.366296    0.568
    1.31698    -6.384347    0.575
    1.33775    -6.404601    0.582
    1.35851    -6.426932    0.590
    1.37927    -6.451199    0.598
    1.40004    -6.477225    0.605
    1.42080    -6.504786    0.614
    1.44157    -6.533628    0.621
    1.46233    -6.563448    0.629
    1.48309    -6.593894    0.635
    1.50386    -6.624507    0.642
    1.52462    -6.654558    0.649
    1.54539    -6.682366    0.653
    1.56615    -6.700772    0.651
    1.58692    -6.681613    0.617
    1.60768    -6.628729    0.600
    1.62844    -6.567484    0.598
    1.64921    -6.503665    0.598
    1.66997    -6.438989    0.599
    1.69074    -6.374621    0.602
    1.71150    -6.311857    0.605
    1.73226    -6.252530    0.608
    1.75303    -6.199254    0.613
    1.77379    -6.155827    0.616
    1.79456    -6.126971    0.617
    1.81532    -6.116858    0.618
    1.81532    -6.116858    0.618
    1.85685    -6.153991    0.617
    1.89838    -6.241056    0.612
    1.93990    -6.342926    0.607
    1.98143    -6.439390    0.604
    2.02296    -6.519565    0.604
    2.06449    -6.567344    0.621
    2.10602    -6.512527    0.666
    2.14755    -6.391642    0.666
    2.18907    -6.251475    0.659
    2.23060    -6.100247    0.643
    2.27213    -5.948284    0.592
    2.31366    -5.827763    0.410
    2.35519    -5.726053    0.018
    2.39671    -5.546349    0.051
    2.43824    -5.395541    0.165
    2.47977    -5.301163    0.364
    2.52130    -5.238603    0.509
    2.56283    -5.169768    0.590
    2.60436    -5.081098    0.641
    2.64588    -4.971963    0.676
    2.68741    -4.847295    0.701
    2.72894    -4.711775    0.721
    2.77047    -4.570531    0.739
    2.81200    -4.428155    0.752
    2.85352    -4.289063    0.764
    2.89505    -4.156113    0.776
    2.93658    -4.035753    0.787
    2.97811    -3.930103    0.798
    3.01964    -3.842975    0.808
    3.06117    -3.807059    0.007
    3.10269    -3.826256    0.001
    3.14422    -3.817194    0.001

# Band-Index    9
    3.14422    -3.729060    0.834
    3.10269    -3.735884    0.828
    3.06117    -3.776914    0.814
    3.01964    -3.800641    0.261
    2.97811    -3.879182    0.271
    2.93658    -3.971081    0.279
    2.89505    -4.072342    0.286
    2.85352    -4.179417    0.291
    2.81200    -4.289036    0.296
    2.77047    -4.398038    0.299
    2.72894    -4.505417    0.303
    2.68741    -4.608505    0.307
    2.64588    -4.706237    0.315
    2.60436    -4.798666    0.324
    2.56283    -4.887347    0.340
    2.52130    -4.976087    0.369
    2.47977    -5.066204    0.431
    2.43824    -5.141685    0.576
    2.39671    -5.283818    0.637
    2.35519    -5.444456    0.568
    2.31366    -5.537139    0.343
    2.27213    -5.529989    0.171
    2.23060    -5.484872    0.120
    2.18907    -5.436596    0.099
    2.14755    -5.396417    0.083
    2.10602    -5.371079    0.064
    2.06449    -5.367501    0.044
    2.02296    -5.394881    0.031
    1.98143    -5.458887    0.026
    1.93990    -5.549003    0.025
    1.89838    -5.640823    0.025
    1.85685    -5.707967    0.033
    1.81532    -5.731729    0.041
    1.81532    -5.731729    0.041
    1.79456    -5.725782    0.039
    1.77379    -5.708514    0.035
    1.75303    -5.682859    0.035
    1.73226    -5.654138    0.042
    1.71150    -5.627969    0.058
    1.69074    -5.608092    0.077
    1.66997    -5.595543    0.096
    1.64921    -5.589678    0.112
    1.62844    -5.589190    0.124
    1.60768    -5.592804    0.131
    1.58692    -5.599458    0.136
    1.56615    -5.608369    0.139
    1.54539    -5.618904    0.140
    1.52462    -5.630593    0.139
    1.50386    -5.643047    0.138
    1.48309    -5.655972    0.135
    1.46233    -5.669102    0.132
    1.44157    -5.682235    0.129
    1.42080    -5.695192    0.125
    1.40004    -5.707798    0.122
    1.37927    -5.719910    0.118
    1.35851    -5.731395    0.114
    1.33775    -5.742140    0.110
    1.31698    -5.752020    0.108
    1.29622    -5.760965    0.105
    1.27545    -5.768869    0.102
    1.25469    -5.775681    0.100
    1.23393    -5.781329    0.098
    1.21316    -5.785749    0.096
    1.19240    -5.788917    0.095
    1.17163    -5.790759    0.094
    1.15087    -5.791349    0.094
    1.15087    -5.791349    0.094
    1.11490    -5.789428    0.093
